TimeStamp,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
20220825135803,GET,Go to Delivery Page,61,0,1200.0,1287.3199511475116,643.9298069999495,2897.5719290001507,749096.5409836066,0.342612333814249,0.0,1200,1500,1500,1600,2000,2300,2600,2900,2900,2900,2900
20220825135803,GET,Go to Payment Page,59,0,1200.0,1279.243295067795,720.7718210001985,2812.406203000137,716968.6101694915,0.3313791425416507,0.0,1200,1400,1500,1600,2100,2400,2400,2800,2800,2800,2800
20220825135803,GET,Open PDP Page,124,25,98.0,132.86178180646857,41.7937290003465,755.7769719996941,136579.93548387097,0.6964578589010965,0.1404148909074791,99,120,150,170,260,340,460,510,760,760,760
20220825135803,POST,Set Shipment Information,60,0,2200.0,2221.746603583293,1425.8394219996262,3396.085898999445,15.0,0.3369957381779498,0.0,2200,2400,2600,2700,3100,3300,3300,3400,3400,3400,3400
20220825135803,GET,Verify Cart,61,0,1400.0,1331.1282168032762,617.3766130004879,2740.8586589999686,713568.0163934426,0.342612333814249,0.0,1400,1500,1600,1600,1800,2100,2500,2700,2700,2700,2700
20220825121923,POST,Add to Bag,16,0,1500.0,1652.165193187505,947.407510000005,2735.1101470000003,18158.9375,0.1742830786663247,0.0,1500,1700,2000,2000,2600,2700,2700,2700,2700,2700,2700
20220825121923,GET,Get Cookies,9,0,600.0,577.3148142222212,189.0015109999865,1425.7622029999766,660050.8888888889,0.0980342317498076,0.0,600,600,700,890,1400,1400,1400,1400,1400,1400,1400
20220825121923,GET,Get PLPs,8,0,1300.0,1372.2689696250045,1095.8816049999882,2060.425513000013,1172933.5,0.0871415393331623,0.0,1300,1300,1600,1600,2100,2100,2100,2100,2100,2100,2100
20220825121923,GET,Get cfuid,9,0,280.0,288.81980111112347,186.70637300002116,438.5482550000006,677442.7777777778,0.0980342317498076,0.0,280,290,320,340,440,440,440,440,440,440,440
20220825121923,GET,Go to Delivery Page,8,0,1100.0,1276.044192374993,661.3329189999888,2222.053869999996,751740.0,0.0871415393331623,0.0,1400,1400,1500,1500,2200,2200,2200,2200,2200,2200,2200
20220825121923,GET,Go to Payment Page,8,0,1100.0,1028.9138537500053,692.3321300000111,1466.2044500000206,719598.75,0.0871415393331623,0.0,1100,1200,1200,1200,1500,1500,1500,1500,1500,1500,1500
20220825121923,GET,Open PDP Page,16,1,110.0,180.22425968749363,48.07039299998905,1057.4214580000216,160653.75,0.1742830786663247,0.0108926924166452,120,130,140,140,330,1100,1100,1100,1100,1100,1100
20220825121923,POST,Set Shipment Information,8,0,1900.0,2101.560983750005,1724.4843020000076,3209.309079000008,15.0,0.0871415393331623,0.0,2000,2000,2200,2200,3200,3200,3200,3200,3200,3200,3200
20220825121923,GET,Verify Cart,8,0,820.0,1006.0369991250012,740.0290539999901,1781.6279449999968,716188.75,0.0871415393331623,0.0,990,1100,1100,1100,1800,1800,1800,1800,1800,1800,1800
20211025024318,POST,Add to Bag,58835,98,3000.0,3940.2737432627696,116.08487100056664,26916.84091399929,18599.543995920794,28.164403989714693,0.0469127490607978,3000,4100,5100,5800,7900,9700,12000,14000,19000,23000,27000
20211025024318,POST,Add to Wishlist,2903,0,1300.0,2156.738093117459,123.06970299869135,14775.678892999167,6186.0,1.3896705155458784,0.0,1300,2100,2800,3500,5400,6800,8800,9900,13000,15000,15000
20211025024318,GET,Get Cookies,447040,2286,2700.0,4589.136722388947,188.41954700019411,31424.6733050004,753447.1153498568,213.99872796060265,1.0943116770712635,2700,4400,6000,7400,12000,15000,19000,21000,26000,28000,31000
20211025024318,GET,Get PLPs,236623,0,90.0,116.65757592377764,38.30946400012181,1532.4117449999903,1199612.0243678764,113.2717900103384,0.0,90,110,140,150,220,280,370,440,750,1100,1500
20211025024318,GET,Go to Delivery Page,28890,210,4000.0,5896.574138454476,650.3994519998741,34736.802625000564,821721.3607130495,13.829686942514789,0.1005273194159953,4000,5900,7800,9200,14000,17000,21000,24000,29000,33000,35000
20211025024318,GET,Go to Payment Page,14066,0,3800.0,5791.046132833646,662.0677849996355,33082.87316800033,786926.3670553106,6.733415594787574,0.0,3800,5600,7300,8800,14000,17000,22000,25000,30000,32000,33000
20211025024318,GET,Open PLP Page,266449,0,87.0,113.8413211428438,36.395469999661145,1960.1852440000584,1076560.4528446344,127.54954157653592,0.0,87,110,130,150,210,280,360,430,720,1000,2000
20211025024318,POST,Set Shipment Information,22836,160,2800.0,3574.169605645869,129.55666400011978,20620.493718000034,21.09791557190401,10.93162793420795,0.0765922433645678,2800,3700,4500,5100,7000,8500,10000,11000,15000,18000,21000
